doc_id	paragraph_id	sentence_id	sentence	start	end	term_id	token_id	token	lemma	upos	xpos	feats	head_token_id	dep_rel	deps	misc
doc1	1	1	things	1	6	1	1	things	thing	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc2	1	1	oscar	1	5	1	1	oscar	oscar	ADJ	JJ	Degree=Pos	0	root	NA	SpacesAfter=\n
doc3	1	1	benefit	1	7	1	1	benefit	benefit	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc4	1	1	drawing	1	7	1	1	drawing	drawe	VERB	VBG	VerbForm=Ger	0	root	NA	SpacesAfter=\n
doc5	1	1	cars	1	4	1	1	cars	cars	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc6	1	1	gangs	1	5	1	1	gangs	gang	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc7	1	1	makeup	1	6	1	1	makeup	makeup	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc8	1	1	pets	1	4	1	1	pets	pets	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc9	1	1	people	1	6	1	1	people	people	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc10	1	1	soccer	1	6	1	1	soccer	soccer	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc11	1	1	y'all	1	1	1	1	y	y	NOUN	NN	Number=Sing	2	compound	NA	SpaceAfter=No
doc11	1	1	y'all	2	5	2	2	'all	'all	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc12	1	1	works	1	5	1	1	works	work	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	0	root	NA	SpacesAfter=\n
doc13	1	1	violence	1	8	1	1	violence	violence	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc14	1	1	video	1	5	1	1	video	video	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc15	1	1	trade	1	5	1	1	trade	trade	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc16	1	1	theno	1	5	1	1	theno	theno	INTJ	UH	NA	0	root	NA	SpacesAfter=\n
doc17	1	1	theater	1	7	1	1	theater	theater	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc18	1	1	taxes	1	5	1	1	taxes	tax	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc19	1	1	student	1	7	1	1	student	student	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc20	1	1	sports	1	6	1	1	sports	sport	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc21	1	1	skin	1	4	1	1	skin	skin	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc22	1	1	shoe	1	4	1	1	shoe	shoe	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc23	1	1	sheep	1	5	1	1	sheep	sheep	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc24	1	1	security	1	8	1	1	security	security	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc25	1	1	salad	1	5	1	1	salad	salad	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc26	1	1	rice	1	4	1	1	rice	rice	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc27	1	1	property	1	8	1	1	property	property	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc28	1	1	product	1	7	1	1	product	product	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc29	1	1	president	1	9	1	1	president	president	PROPN	NNP	Number=Sing	0	root	NA	SpacesAfter=\n
doc30	1	1	plaid	1	5	1	1	plaid	play	AUX	VBD	Mood=Ind|Tense=Past|VerbForm=Fin	0	root	NA	SpacesAfter=\n
doc31	1	1	piracy	1	6	1	1	piracy	piracy	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc32	1	1	phone	1	5	1	1	phone	phone	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc33	1	1	paint	1	5	1	1	paint	paint	VERB	VB	Mood=Imp|VerbForm=Fin	0	root	NA	SpacesAfter=\n
doc34	1	1	beard	1	5	1	1	beard	beard	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc35	1	1	agents	1	6	1	1	agents	agent	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc36	1	1	kellerman	1	9	1	1	kellerman	kellerman	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc37	1	1	it	1	2	1	1	it	it	PRON	PRP	Case=Nom|Gender=Neut|Number=Sing|Person=3|PronType=Prs	0	root	NA	SpacesAfter=\n
doc38	1	1	issues	1	6	1	1	issues	issue	NOUN	NNS	Number=Plur	0	root	NA	SpacesAfter=\n
doc39	1	1	ice	1	3	1	1	ice	ice	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc40	1	1	opera	1	5	1	1	opera	opera	NOUN	NN	Number=Sing	0	root	NA	SpacesAfter=\n
doc41	1	1	nothin	1	6	1	1	nothin	nothin	INTJ	UH	NA	0	root	NA	SpacesAfter=\n
